,Year,"Report
State",Plant Name,Owner Company,Operator Company,County Name,Zipcode,"Plant
Capacity","Plant
Flow","BTU
Content","Dry Gas
Storage
Capacity","NG Liquid
Storage
Capacity",lonlats
206,2012.0,NM,San Juan Gas Plant,"Western Gas Holding Company, LLC","Anadarko Petroleum Corporation, Corp",San Juan,87417,60.00,32.00,"1,080",0.0,"3,500","[-108.3563972, 36.7246163]"
207,2012.0,NM,Saunders Plant,"Targa Midstream Services, LLC","Targa Midstream Services, LLC",Lea,88260,70.00,44.00,"1,223",0.0,"2,286","[-103.4511768, 32.9753361]"
208,2012.0,NM,South Carlsbad Dew Point Plant,"Enterprise Field Services, LLC","Enterprise Products Operating, LLC",Eddy,88256,200.00,50.00,"1,060",0.0,"1,200","[-103.8680047, 32.1749767]"
209,2012.0,OH,Churchtown Compressor,Cobra Pipeline Company,Cobra Pipeline Company,Washington,45750,2.00,1.40,"1,225",0.0,"1,100","[-81.4498717, 39.4404583]"
210,2012.0,OK,Amber Gas Plant,Lumen Midstream Partnership LLC,Lumen Midstream Partnership LLC,Grady,73004,21.00,11.75,"1,130",0.0,380,"[-97.86127669999999, 35.1464098]"
211,2012.0,OK,Arapahoe Plant (I and II),"MarkWest Oklahoma Gas Company, LLC","MarkWest Oklahoma Gas Company, LLC",Custer,73625,225.00,225.00,"1,205",0.0,0,"[-99.23421959999999, 35.690984]"
212,2012.0,OK,Atlas Pipeline Mid-Continent LLC. Velma Gas Plant,Atlas Pipeline Partners,Atlas Pipeline Mid-Continent LLC,Stephens,73491,100.00,100.00,"1,228",0.0,"3,729","[-97.6765157, 34.4667179]"
213,2012.0,OK,Beaver Gas Processing,PVR Partners,PVR Midstream,Beaver,73932,100.00,100.00,"1,178",0.0,"2,200","[-100.4846227, 36.705369]"
214,2012.0,OK,Binger,Mustang Ventures CO,"Mustang Gas Products, LLC",Caddo,73009,15.00,8.00,"1,000",0.0,0,"[-98.3307468, 35.3005279]"
215,2012.0,OK,Binger,Slawson Exploration,Binger Operations LLC,Caddo,73009-0484,16.00,15.00,,0.0,190,"[-98.3307468, 35.3005279]"
216,2012.0,OK,Burbank Plant,Scissortail Energy LLC,Scissortail Energy LLC,Osage,74633,10.00,6.00,"1,175",0.0,"1,700","[-96.7708138, 36.6972673]"
217,2012.0,OK,Calumet,Enogex Products LLC,Enogex Products LLC,Canadian,73014,250.00,132.99,"1,150",0.0,"5,952","[-98.1557066, 35.6172323]"
218,2012.0,OK,Camrick Gas Plant,Camrick Gas Processing Company LLC,Camrick Gas Processing Company LLC,Beaver,73931,10.00,5.00,,0.0,500,"[-100.7548851, 36.5957387]"
219,2012.0,OK,Cana Plant,Devon Gas Services LP,Devon Gas Services LP,Canadian,73014,200.00,182.05,"1,110",0.0,"6,095","[-98.1557066, 35.6172323]"
220,2012.0,OK,Canute,Enogex Products LLC,Enogex Products LLC,Washita,73626,60.00,51.17,"1,180",0.0,0,"[-99.3007367, 35.403712]"
221,2012.0,OK,Cashion Plant,Superior Pipeline Company LLC,Superior Pipeline Company LLC,Logan,73016,51.00,18.00,"1,340",1.0,250,"[-97.6873706, 35.8109338]"
222,2012.0,OK,Chaney Dell Plant,Atlas Pipeline Mid-Continent LLC,Atlas Pipeline Mid-Continent LLC,Major,73768,30.00,28.00,"1,150",0.0,"1,532","[-98.265058, 36.366508]"
223,2012.0,OK,Chester Plant,Atlas Pipeline Mid-Continent LLC,Atlas Pipeline Mid-Continent LLC,Woodward,73838,30.00,29.00,"1,120",0.0,0,"[-98.9024603, 36.256036]"
224,2012.0,OK,Chitwood,DCP Midstream,DCP Midstream,Grady,73067,85.00,80.00,"1,225",0.0,"4,000","[-97.9157099, 34.9130056]"
225,2012.0,OK,Cimarron,DCP Midstream,DCP Midstream,Woodward,73663,65.00,60.00,"1,100",0.0,"1,906","[-98.9024603, 36.12678500000001]"
226,2012.0,OK,Clinton,Enogex Products LLC,Enogex Products LLC,Custer,73601,120.00,110.52,"1,240",0.0,0,"[-98.99079379999999, 35.4707587]"
227,2012.0,OK,Coalgate Plant,"CenterPoint Energy Field Services, LLC","CenterPoint Energy Field Services, LLC",Coal,74538,15.00,13.00,"1,134",0.0,715,"[-96.2163597, 34.5497732]"
228,2012.0,OK,Cox City,Enogex Products LLC,Enogex Products LLC,Grady,73082,180.00,121.20,"1,140",0.0,"3,333","[-97.76340189999999, 34.7692466]"
229,2012.0,OK,Crescent,PVR Cherokee Gas Processing LLC,,Logan,73028,25.00,20.00,"1,198",0.0,0,"[-97.654811, 35.9755305]"
230,2012.0,OK,Custer Plant,Oneok Field Services,Oneok Field Services,Custer,73639,80.00,74.00,"1,150",0.0,550,"[-98.94661459999999, 35.73446]"
231,2012.0,OK,Cyril,DCP Midstream,DCP Midstream,Caddo,73017,15.00,13.00,"1,080",25.0,600,"[-98.1120116, 34.9219501]"
232,2012.0,OK,Dover-Hennessey Gas Plant,"Mustang Gas Products, LLC","Mustang Gas Products, LLC",Kingfisher,73742,40.00,25.00,"1,000",0.0,600,"[-97.9374948, 36.065268]"
233,2012.0,OK,Dry Trail,Whiting Oil & Gas Corporation,Whiting Oil & Gas Corporation,Texas,73942,100.00,91.00,180,0.0,714,"[-101.6157773, 36.812341]"
234,2012.0,OK,Eagle Chief Plant,"Eagle Chief Midstream, LLC","Eagle Chief Midstream, LLC",Alfalfa,73726,28.00,22.00,"1,163",0.0,"1,480","[-98.5501283, 36.5397535]"
235,2012.0,OK,Elk City Gas Plant,Enbridge G & P,,Beckham,73644,130.00,120.00,"1,175",0.0,"1,070","[-99.41171969999999, 35.4168123]"
236,2012.0,OK,Elmore City,Cimarex Energy Co.,Carrera Gas Companies LLC,Garvin,73433,26.00,16.50,"1,249",0.0,106,"[-97.4165053, 34.614973]"
237,2012.0,OK,Foss Compressor Station,"Seminole Gas Company, LLC","Seminole Gas Company, LLC",Custer,73628,5.60,4.50,"1,100",0.0,428,"[-99.6564092, 35.5927121]"
238,2012.0,OK,Fox Plant,DCP Midstream,DCP Midstream,Carter,73438,23.00,20.00,"1,250",0.0,"1,450","[-97.54638849999999, 34.2982999]"
239,2012.0,OK,Glenpool (Creek) Plant,Copano/Scissortail Energy LLC,Copano/Scissortail Energy LLC,Tulsa,74033,25.00,6.70,"1,146",0.0,"1,500","[-96.0097018, 35.944592]"
240,2012.0,OK,Harrah Plant,Scissortail Energy LLC,Scissortail Energy LLC,Lincoln,73045,40.00,15.00,"1,210",0.0,"29,525","[-97.1574784, 35.5066568]"
241,2012.0,OK,Hopeton,"SemGas, LP","SemGas, LP",Woods,73731,35.00,35.00,"1,134",0.0,350,"[-98.5501283, 36.6683868]"
242,2012.0,OK,Kingfisher,DCP Midstream,DCP Midstream,Kingfisher,73016,180.00,135.00,"1,200",0.0,"3,600","[-97.6873706, 35.8109338]"
243,2012.0,OK,Leedey Compressor Station and Refrigeration Plant,"CenterPoint Energy Gas Transmission Company, LLC",,Custer,73654,7.50,4.00,"1,216",0.0,619,"[-99.41171969999999, 35.8502887]"
244,2012.0,OK,Leedey Plant,Oneok Field Services,Oneok Field Services,Dewey,73654,50.00,16.00,"1,180",0.0,"2,850","[-99.41171969999999, 35.8502887]"
245,2012.0,OK,Madill Gas Plant,"Madill Gas Processing Co, LLC","Carrera Operating Co, LLC",Marshall,73446,50.00,22.93,"1,200",0.0,"3,800","[-96.79223549999999, 34.0990245]"
246,2012.0,OK,Matli Plant,Hiland Partners,Hiland Partners LP,Blaine,73772,25.00,12.00,"1,140",0.0,227,"[-98.4403573, 35.83616380000001]"
247,2012.0,OK,Maysville Plant,Oneok Field Services,Oneok Field Services,Garvin,73057,135.00,110.00,"1,295",0.0,"3,230","[-97.4165053, 34.7469545]"
248,2012.0,OK,Mehan Gas Plant,Tag Petroleum Inc,Tag Petroleum Inc,Payne,74076-1389,3.00,1.50,"1,250",0.0,714,"[-97.0572308, 36.1133016]"
249,2012.0,OK,Milfay Plant,Scissortail Energy LLC,Scissortail Energy LLC,Creek,74079,15.00,8.40,"1,169",0.0,950,"[-96.6851982, 35.7514436]"
250,2012.0,OK,Minco Plant,Superior Pipeline Company LLC,Superior Pipeline Company LLC,Grady,73089,12.00,6.00,"1,110",1.0,0,"[-97.8286368, 35.2686842]"
251,2012.0,OK,Mocane Station,Regency Field Services LLC,Energy Transfer Company,Beaver,73932,55.00,35.00,"1,182",0.0,714,"[-100.4846227, 36.705369]"
252,2012.0,OK,Mooreland,DCP Midstream,DCP Midstream,Woodward,73852,130.00,100.00,"1,180",0.0,"4,117","[-99.14561529999999, 36.473972]"
253,2012.0,OK,Mustang,DCP Midstream,DCP Midstream,Grady,73089,34.00,32.00,"1,160",0.0,"1,667","[-97.8286368, 35.2686842]"
254,2012.0,OK,Nash,"SemGas, LP","SemGas, LP",Grant,73761,20.00,15.00,"1,147",0.0,200,"[-98.0247005, 36.705054]"
255,2012.0,OK,Nine Mile Gas Plant,Enbridge G & P,Enbridge G & P,Dewey,73654,140.00,120.00,"1,200",0.0,"1,214","[-99.41171969999999, 35.8502887]"
256,2012.0,OK,Northridge Gas Plant,Devon Gas Services LP,Devon Gas Services LP,Hughes,74531,200.00,147.86,"1,140",0.0,"5,714","[-96.25883689999999, 34.8559803]"
257,2012.0,OK,Okarche Plant,DCP Midstream,DCP Midstream,Kingfisher,73762-9628,165.00,150.00,"1,165",0.0,"3,095","[-97.9810845, 35.7158243]"
258,2012.0,OK,Osage Gas Plant,Lumen Midstream Partnership LLC,Lumen Midstream Partnership LLC,Osage,74637,12.00,6.49,"1,330",0.0,"1,285","[-96.642433, 36.618562]"
259,2012.0,OK,Osage Hills Gas Plant,Osage Hills Pipeline Company,"Carrera Operating Co, LLC",Osage,74002,5.00,4.00,"1,200",0.0,500,"[-96.11029429999999, 36.582498]"
260,2012.0,OK,Paden Plant,Scissortail Energy LLC,Scissortail Energy LLC,Okfuskee,74860,100.00,74.10,"1,235",0.0,"1,550","[-96.55698819999999, 35.540806]"
261,2012.0,OK,Panther Creek Plant,Oneok Field Services,Oneok Field Services,Washita,73626,78.00,72.00,"1,130",0.0,750,"[-99.3007367, 35.403712]"
262,2012.0,OK,Perkins Plant,Superior Pipeline Company LLC,Superior Pipeline Company LLC,Payne,74059,10.00,4.00,"1,330",1.0,250,"[-97.0713572, 35.946388]"
263,2012.0,OK,Rodman,Mustang Ventures CO,"Mustang Gas Products, LLC",Garfield,73773,70.00,63.00,"1,190",0.0,177,"[-97.9374948, 36.281089]"
264,2012.0,OK,Roger Mills,Enogex Products LLC,Enogex Products LLC,WASHITA,73644,100.00,88.00,"1,180",0.0,0,"[-99.41171969999999, 35.4168123]"
265,2012.0,OK,Sholem Alechem,DCP Midstream,DCP Midstream,Stephens-Carter,73425,60.00,55.00,"1,235",0.0,0,"[-97.56277779999999, 34.4486111]"
266,2012.0,OK,South Canadian,Enogex Products LLC,Enogex Products LLC,Custer,73014,200.00,176.09,"1,180",0.0,0,"[-98.1557066, 35.6172323]"
267,2012.0,OK,Southern Dome Plant,Scissortail Energy LLC,Scissortail Energy LLC,Oklahoma,73149,18.00,9.86,"1,171",0.0,"3,500","[-97.4868283, 35.3831074]"
268,2012.0,OK,Stephens Plant,Oneok Field Services,Oneok Field Services,Stephens,73491,30.00,26.00,"1,167",0.0,175,"[-97.6765157, 34.4667179]"
269,2012.0,OK,Sweetwater Plant,Enbridge G & P,,Beckham,93532,180.00,175.00,"1,175",0.0,"2,140","[-118.4531942, 34.676617]"
270,2012.0,OK,Tecumseh Gas Plant,Enerfin Resources Company,Enerfin Resources I LP,Pottawatomie,76310,16.00,11.49,"1,350",0.0,"1,430","[-98.5062007, 33.7928627]"
271,2012.0,OK,Thomas,Enogex Products LLC,Enogex Products LLC,Custer,73669,150.00,126.79,"1,150",0.0,0,"[-98.7921836, 35.8108641]"
272,2012.0,OK,"Timberland Gathering & Proc. Co., Inc.",,,Texas,73951,60.00,15.00,"1,030",0.0,"1,137","[-101.048549, 36.9306369]"
273,2012.0,OK,Tupelo Gas Processing Plant,Cardinal Arkoma Midstream LLC,Cardinal Arkoma Midstream LLC,Coal,74538,120.00,110.00,"1,200",0.0,"4,700","[-96.2163597, 34.5497732]"
274,2012.0,OK,Waynoka Plant,Atlas Pipeline Mid-Continent LLC,Atlas Pipeline Mid-Continent LLC,Woods,73717,200.00,199.00,"1,136",1.0,0,"[-98.7481167, 36.8891804]"
275,2012.0,OK,Wetumka,Enogex Products LLC,Enogex Products LLC,Hughes,74883,60.00,34.54,"1,150",0.0,"2,857","[-96.2163597, 35.25301960000001]"
276,2012.0,OK,Woodward Gas Plant,Oneok Partners,Oneok Partners,Woodward,73081,75.00,57.00,"1,161",0.0,"1,500","[32.616867, 46.635417]"
277,2012.0,PA,Grunder Plant,"KCS Energy, Inc","KCS Energy, Inc.",Warren,16365,2.00,0.75,"1,360",0.0,"1,428","[-79.1322744, 41.8583345]"
278,2012.0,PA,Houston Plant,MarkWest Liberty Midstream & Resources,MarkWest Liberty Midstream & Resources,Washington,15301,289.25,176.26,"1,256",0.0,77,"[-80.254435, 40.1627412]"
279,2012.0,PA,Kane Plant,Elkhorn Holdings,Elkhorn Gas Processing LLC,McKean,16735,10.00,9.00,"1,185",0.0,"2,900","[-78.8156113, 41.6703309]"
280,2012.0,PA,Keystone Plant,Elkhorn Holdings,Elkhorn Gas Processing LLC,Warren County,16313,10.00,7.50,"1,250",0.0,"1,950","[-79.1548533, 41.6834249]"
281,2012.0,PA,Lafayette,MSL Oil & Gas Corp,MSL Oil & Gas Corp,McKeen,16738,2.00,1.30,"1,360",0.0,700,"[-78.6909263, 41.8055296]"
282,2012.0,PA,Lewis Run Plant,"LRGPP, LP",Elkhorn Gas Processing,Mckean,16701,6.00,5.00,"1,300",0.0,"2,140","[-78.7022678, 41.9537701]"
283,2012.0,PA,Robin Hill Plant,"Laurel Mountain Midstream, LLC","Laurel Mountain Midstream, LLC",Washington,15019,18.00,5.00,"1,328",0.0,"1,215","[-80.33245140000001, 40.4021036]"
284,2012.0,PA,Roystone Plant,Elkhorn Holdings,Elkhorn Gas Processing LLC,McKean,16347,9.00,7.50,"1,200",0.0,"2,900","[-79.0419053, 41.652913]"
285,2012.0,PA,Stewart Plant,"Laurel Mountain Midstream, LLC","Laurel Mountain Midstream, LLC",Washington,15430,18.00,5.00,"1,320",0.0,"1,821","[-79.6602097, 40.0419381]"
286,2012.0,PA,Whitetail Plant,Whitesville Gas Processing,Elkhorn Gas Processing,Elk,17635,5.00,4.50,"1,170",0.0,"1,400","[44.03895540000001, 25.3746311]"
287,2012.0,TN,Rogersville Cryogenic Plant,"Seminole Gas Company, LLC","Seminole Gas Company, LLC",Hawkins,37857,25.00,19.00,"1,200",0.0,"2,857","[-82.9716617, 36.4242854]"
288,2012.0,TX,Agaritta,Stephens & Johnson Operating Co,Stephens & Johnson Operating Co,Concho,,5.00,0.25,"1,200",0.0,"1,714","[0, 0]"
289,2012.0,TX,Allison Gas Plant,Enbridge Pipelines (Texas Gathering) L.P.,Enbridge Pipelines (Texas Gathering) L.P.,Wheeler,79003,150.00,149.00,"1,169",0.0,0,"[-100.0695367, 35.5695564]"
290,2012.0,TX,Antelope Hills Plant,PVR Partners,PVR Midstream,Hemphill,79104,130.00,130.00,"1,165",0.0,"1,200","[-101.7922632, 35.2011859]"
291,2012.0,TX,Apache Corporation Crane Gas Plant,Apache Corporation,Apache Corporation,Upton,79731,25.00,24.00,"1,270",0.0,0,"[-102.4151335, 31.4093115]"
292,2012.0,TX,Armstrong,"Enterprise Hydrocarbons, LP","Enterprise Products Operating, LLC",Dewitt,77995,250.00,229.00,"1,201",0.0,"16,142","[-97.0713572, 29.2080028]"
293,2012.0,TX,Austin Giddings,DCP Midstream,DCP Midstream,Fayette,78945,95.00,90.10,"1,218",0.0,"7,238","[-96.8779926, 29.9334606]"
294,2012.0,TX,Azle Plant,,"Crosstex CCNG Processing, Ltd",Parker,76020,50.00,34.00,"1,154",0.0,"1,093","[-97.54638849999999, 32.9186258]"
295,2012.0,TX,Benedum,,Atlas Pipeline Co,Upton,79755,45.00,45.00,"1,320",0.0,"3,571","[-101.9119871, 31.502598]"
296,2012.0,TX,Benedum II Plant,"Benedum Gas Partners, LP",WTG Benedum Joint Venture,Upton,79755,140.00,115.78,"1,228",0.0,0,"[-101.9119871, 31.502598]"
297,2012.0,TX,Bleiblerville Facility,"Eagle Rock DeSoto Pipeline, L.P.","Eagle Rock DeSoto Pipeline, L.P.",Austin,78931,0.25,0.25,"1,142",0.0,714,"[-96.4396888, 30.0361702]"
298,2012.0,TX,Bridgeport Plant,Devon Energy Corp,Devon Gas Services LP,Wise,76426,650.00,623.00,"1,167",0.0,"48,415","[-97.8503951, 33.1683909]"
299,2012.0,TX,Bridwell River Ranch Gas Plant,Bridwell Oil Company,Bridwell Oil Company,Clay,,2.00,0.30,"1,200",0.0,700,"[0, 0]"
300,2012.0,TX,Brookeland Gas Plant,"Eagle Rock Operating, L.P.","Eagle Rock Operating, L.P.",Jasper,75931,100.00,64.00,"1,160",0.0,710,"[-94.0082563, 31.0860477]"
301,2012.0,TX,CGU Cordona Lake Plant,XTO Energy Inc,XTO Energy Inc,Crane,79731,10.00,2.80,754,0.0,443,"[-102.4151335, 31.4093115]"
302,2012.0,TX,CIPCO Supersystem,DCP Southeast Texas Plants,DCP Midstream,Jefferson,77640,400.00,320.00,"1,143",1.0,"62,115","[-93.9776389, 29.8796363]"
303,2012.0,TX,Canadian Plant,"Eagle Rock Field Services, L.P.","Eagle Rock Field Services, L.P.",Hemphill,79014,25.00,24.10,"1,240",0.0,700,"[-100.3497895, 35.9022267]"
304,2012.0,TX,Cargray Plant,"Eagle Rock Energy Services, L.P.","Eagle Rock Energy Services, L.P.",Carson,79097,25.00,17.51,"1,410",0.0,"25,747","[-101.1843887, 35.4598173]"
305,2012.0,TX,Carthage Gas Plant,MarkWest Energy Partners LLC,"MarkWest Energy Partners, LLC",Panola,75633,280.00,260.00,"1,145",0.0,0,"[-94.27436279999999, 32.148066]"
306,2012.0,TX,Cedar Hill Gas Plant,"Davis Gas Processing, Inc.","Davis Gas Processing, Inc.",GARZA,79356,8.00,1.32,"1,309",0.0,750,"[-101.2977322, 33.2358163]"
307,2012.0,TX,Chapel Hill Gas Plant,Costar Midstream LLC,Gas Solutions II Ltd,Smith,75792,25.00,19.00,"1,070",0.0,"4,850","[-95.1223608, 32.5011461]"
308,2012.0,TX,Chico Plant,"Targa Midstream Services, LLC","Targa Midstream Services, LLC",Wise,76431,265.00,240.00,"1,188",0.0,"17,383","[-97.8503951, 33.3023727]"
309,2012.0,TX,Chisholm Plant,Energy Transfer,Energy Transfer,Fayette,78945,120.00,120.00,"1,275",0.0,"1,000","[-96.8779926, 29.9334606]"
310,2012.0,TX,Concho Gas Plant,"Davis Gas Processing, Inc.","Davis Gas Processing, Inc.",Concho,76866,10.00,1.71,"1,157",0.0,"1,500","[-99.9465077, 31.4685807]"
311,2012.0,TX,Conger Plant,Targa Resources,Targa Resources,Sterling,76951,25.00,18.00,"1,318",0.0,714,"[-101.0711758, 31.78149299999999]"
312,2012.0,TX,Conroe Plant,Southcross Energy GP LLC,Southcross Gathering Ltd.,Montgomery,77302,36.00,22.00,"1,080",0.0,230,"[-95.33116520000002, 30.2123622]"
313,2012.0,TX,Cowtown/Corvette Plant,Cowtown Gas Processing Partners LP,Cowtown Gas Processing Partners LP,Hood,76033,300.00,132.00,"1,230",0.0,"7,857","[-97.5030669, 32.2917352]"
314,2012.0,TX,Coyanosa,"Energy Transfer Equity, LP","Southern Union Gas Services, LTD",Pecos,79730,130.00,95.00,"1,160",0.0,0,"[-103.1048449, 31.1599754]"
315,2012.0,TX,Crossroads,PVR East Texas Gas Processing LLC,,Harrison,75672,80.00,50.00,"1,120",0.0,0,"[-94.27436279999999, 32.4197441]"
