,PLANT_NAME,ONLINE_MW,FACILITY,PRIMARY_FUEL,TECHNOLOGY,STATUS,location,lat,lon
52,CARIBOU 1,73.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,BELDEN+CA,40.00599709999999,-121.2491316
53,KEKAWAKA,4.95,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,ALDERPOINT+CA,40.1763525,-123.6122022
54,OAK FLAT,1.4,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,CARIBOU+CA,40.0804428,-121.1577397
55,FIVE BEARS,0.99,HYDROELECTRIC,HYDRO,,OPERATIONAL,TAYLORSVILLE+CA,40.0754477,-120.8396752
56,BELDEN,117.9,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,BELDEN+CA,40.00599709999999,-121.2491316
57,BUCKS CREEK,63.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,STORRIE+CA,39.9173852,-121.3232992
58,GRIZZLY,21.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,QUINCY+CA,39.9368363,-120.9471764
59,ROCK CREEK,112.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,STORRIE+CA,39.9173852,-121.3232992
60,TOADTOWN,1.5,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,MAGALIA+CA,39.8121058,-121.5783059
61,DE SABLA,18.5,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,MAGALIA+CA,39.8121058,-121.5783059
62,MUD CREEK,0.3,HYDROELECTRIC,WATER,,OPERATIONAL,CHICO+CA,39.7284944,-121.8374777
63,CRESTA,70.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,STORRIE+CA,39.9173852,-121.3232992
64,PORTOLA,5.7,OIL/GAS,DIESEL,INTERNAL COMBUSTION ENGINE,OPERATIONAL,PORTOLA+CA,39.8104567,-120.4691034
65,LASSEN,0.99,HYDROELECTRIC,WATER,,OPERATIONAL,PULGA+CA,39.8029398,-121.4485797
66,BLACK BUTTE,6.4,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,TEHAMA+CA,40.0271015,-122.1233228
67,CENTERVILLE,6.4,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,CHICO+CA,39.7284944,-121.8374777
68,GRAEAGLE,0.44,HYDROELECTRIC,WATER,,OPERATIONAL,PLUMAS EUREKA+CA,39.789722,-120.651667
69,HIGHLINE CANAL,0.5,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,ORLAND+CA,39.7473803,-122.1963748
70,POE,120.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,STORRIE+CA,39.9173852,-121.3232992
71,SIERRA NEVADA BREWING FUEL CELL,1.2,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,CHICO+CA,39.7284944,-121.8374777
72,SIERRA NEVADA BREWING SOLAR,1.4,SOLAR,PHOTOVOLTAIC,ROOFTOP,OPERATIONAL,CHICO+CA,39.7284944,-121.8374777
73,LIME SADDLE,2.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,OROVILLE+CA,39.5137752,-121.556359
74,SALMON CREEK,0.5,HYDROELECTRIC,WATER,,OPERATIONAL,SIERRA CITY+CA,39.5664883,-120.6340689
75,SLY CREEK,12.1,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,FEATHER FALLS+CA,39.6429426,-121.2744065
76,DOWNIEVILLE,0.7,OIL/GAS,DIESEL,COMBUSTION TURBINE,OPERATIONAL,DOWNIEVILLE+CA,39.5595198,-120.8276966
77,STONY GORGE,5.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,ELK CREEK+CA,39.6050699,-122.5398032
78,WOODLEAF,59.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,OROVILLE+CA,39.5137752,-121.556359
79,FORBESTOWN,29.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,OROVILLE+CA,39.5137752,-121.556359
80,KANAKA,1.12,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,FEATHER FALLS+CA,39.6429426,-121.2744065
81,DEADWOOD CREEK,1.95,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,CHALLENGE+CA,39.4875,-121.223611
82,EDWARD C  HYATT,644.25,HYDROELECTRIC,WATER,"PUMPED STORAGE, HYDRO",OPERATIONAL,BUTTE+CA,39.6253952,-121.5370003
83,KELLY RIDGE,10.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,THERMALITO+CA,39.5112752,-121.5869154
84,THERMALITO DIVERSION DAM,3.4,HYDROELECTRIC,WATER,HYDRAULIC TURBINE - CONVENTIONAL,OPERATIONAL,OROVILLE+CA,39.5137752,-121.556359
85,THERMALITO,115.1,HYDROELECTRIC,WATER,"HYDRO, PUMPED STORAGE",OPERATIONAL,OROVILLE+CA,39.5137752,-121.556359
86,STAMPEDE,3.65,HYDROELECTRIC,WATER,"RUN-OF-RIVER, WATER",OPERATIONAL,TRUCKEE+CA,39.327962,-120.1832533
87,PACIFIC OROVILLE POWER,18.0,WTE,AG & WOODWASTE,DIRECT COMBUSTION,OPERATIONAL,OROVILLE+CA,39.5137752,-121.556359
88,BOWMAN,3.6,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,NEVADA CITY+CA,39.2615606,-121.0160594
89,FISH POWER,0.15,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,MARYSVILLE+CA,39.1457253,-121.5913547
90,COLUSA GEN. STATION,660.0,OIL/GAS,NATURAL GAS,"NATURAL GAS FIRED, COMBINED CYCLE",OPERATIONAL,MAXWELL+CA,39.2762238,-122.1917266
91,STOVAL 1 & 2,0.3,HYDROELECTRIC,WATER,,OPERATIONAL,WILLIAMS+CA,39.1546137,-122.1494187
92,POTTER VALLEY,9.46,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,POTTER VALLEY+CA,39.3221089,-123.113059
93,SPAULDING 3,6.61,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,EMIGRANT GAP+CA,39.296845,-120.6727122
94,HAMMEKEN,0.33,HYDROELECTRIC,HYDRO,,OPERATIONAL,POTTER VALLEY+CA,39.3221089,-123.113059
95,FAR WEST POWER CO.,0.4,HYDROELECTRIC,WATER,,OPERATIONAL,POTTER VALLEY+CA,39.3221089,-123.113059
96,SPAULDING 1,7.04,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,EMIGRANT GAP+CA,39.296845,-120.6727122
97,SPAULDING 2,3.7,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,EMIGRANT GAP+CA,39.296845,-120.6727122
98,COLGATE,315.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,DOBBINS+CA,39.3715576,-121.2060694
99,BROWNS VALLEY ID,1.0,HYDROELECTRIC,WATER,,OPERATIONAL,BROWNS VALLEY+CA,39.2421139,-121.4091297
100,DEER CREEK,5.5,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,NEVADA CITY+CA,39.2615606,-121.0160594
101,SCOTTS FLAT,0.85,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,NEVADA CITY+CA,39.2615606,-121.0160594
102,KINGS BEACH,16.2,OIL/GAS,DIESEL,INTERNAL COMBUSTION ENGINE,OPERATIONAL,KINGS BEACH+CA,39.2376846,-120.0265798
103,DRUM 1,55.5,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,ALTA+CA,39.206736,-120.8114612
104,DRUM 2,49.5,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,ALTA+CA,39.206736,-120.8114612
105,NARROWS 2,46.8,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,DOBBINS+CA,39.3715576,-121.2060694
106,NARROWS 1,67.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,SMARTVILLE+CA,39.2077473,-121.2988335
107,DUTCH FLAT 1,22.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,ALTA+CA,39.206736,-120.8114612
108,ALTA,2.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,ALTA+CA,39.206736,-120.8114612
109,DUTCH FLAT 2,27.3,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,DUTCH FLAT+CA,39.2059586,-120.8378103
110,LAKE MENDOCINO,3.5,HYDROELECTRIC,WATER,HYDRAULIC TURBINE - CONVENTIONAL,OPERATIONAL,UKIAH+CA,39.1501709,-123.2077831
111,CHICAGO PARK,44.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,COLFAX+CA,39.1007298,-120.9532759
112,ROLLINS,13.5,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,COLFAX+CA,39.1007298,-120.9532759
113,FEATHER RIVER ENERGY CENTER,48.1,OIL/GAS,NATURAL GAS,SIMPLE CYCLE,OPERATIONAL,YUBA CITY+CA,39.1404477,-121.6169108
114,LAKE COUNTY SANITATION DISTRICT SOLAR FARM,2.2,SOLAR,PHOTOVOLTAIC,SOLAR PANELS,OPERATIONAL,LAKEPORT+CA,39.0429506,-122.9158293
115,FRENCH MEADOWS,15.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,FORESTHILL+CA,39.0201768,-120.8179891
116,OSTROM ROAD,1.6,WTE,LANDFILL GAS,RECIPROCATING ENGINE,OPERATIONAL,WHEATLAND+CA,39.0098946,-121.4230133
117,HELL HOLE,0.73,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,FORESTHILL+CA,39.0201768,-120.8179891
118,CAMP FAR WEST,6.8,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,WHEATLAND+CA,39.0098946,-121.4230133
119,SUTTER POWER PROJECT,578.0,OIL/GAS,NATURAL GAS,"GAS FIRED, COMBINED CYCLE",OPERATIONAL,YUBA CITY+CA,39.1404477,-121.6169108
120,SOUTH SUTTER,0.4,HYDROELECTRIC,WATER,,OPERATIONAL,SHERIDAN+CA,38.979722,-121.375556
121,MIDDLE FORK,116.0,HYDROELECTRIC,WATER,"HYDRO, WATER TURBINE",OPERATIONAL,FORESTHILL+CA,39.0201768,-120.8179891
122,COMBIE NORTH,0.33,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,MEADOW VISTA+CA,39.0010079,-121.0218887
123,COMBIE SOUTH,1.5,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,PLACER CITY+CA,38.7521235,-121.2880059
124,OXBOW,6.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,FORESTHILL+CA,39.0201768,-120.8179891
125,RALSTON,79.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,FORESTHILL+CA,39.0201768,-120.8179891
126,LOON LAKE,82.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,FORESTHILL+CA,39.0201768,-120.8179891
127,SIERRA ENERGY CO.,0.2,HYDROELECTRIC,WATER,,OPERATIONAL,FORESTVILLE+CA,38.4735237,-122.8902721
128,HALSEY,11.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,AUBURN+CA,38.8965654,-121.0768901
129,TUNNEL HILL,0.6,HYDROELECTRIC,WATER,,OPERATIONAL,GOERGETOWN+CA,38.9068445,-120.8385462
130,BUCKEYE,4.0,HYDROELECTRIC,HYDRO,HYDRO,OPERATIONAL,GEORGETOWN+CA,38.9068445,-120.8385462
131,ROBBS PEAK,29.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,POLLOCK PINES+CA,38.7612923,-120.5865935
132,SWISS AMERICA,0.1,HYDROELECTRIC,WATER,,OPERATIONAL,AUBURN+CA,38.8965654,-121.0768901
133,WISE 1&2,14.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,AUBURN+CA,38.8965654,-121.0768901
134,UNION VALLEY,46.7,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,POLLOCK PINES+CA,38.7612923,-120.5865935
135,JONES FORK,11.5,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,POLLOCK PINES+CA,38.7612923,-120.5865935
136,JAYBIRD,154.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,POLLOCK PINES+CA,38.7612923,-120.5865935
137,NEWCASTLE,11.5,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,AUBURN+CA,38.8965654,-121.0768901
138,LINCOLN LANDFILL,13.0,WTE,LANDFILL GAS,LANDFILL GAS,OPERATIONAL,LINCOLN+CA,38.891565,-121.2930079
139,BOTTLEROCK GEOTHERMAL RESTART,10.0,GEOTHERMAL,GEOTHERMAL,GEOTHERMAL,OPERATIONAL,COBB+CA,38.8334625,-122.720961
140,ROSEVILLE,50.4,OIL/GAS,NATURAL GAS,COMBUSTION TURBINE,OPERATIONAL,ROSEVILLE+CA,38.7521235,-121.2880059
141,EL DORADO,20.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,POLLACK PINES+CA,38.7612923,-120.5865935
142,CAMINO,154.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,POLLOCK PINES+CA,38.7612923,-120.5865935
143,ROCK CREEK L.P.,3.6,HYDROELECTRIC,WATER,,OPERATIONAL,PLACERVILLE+CA,38.7296252,-120.798546
144,ROSEVILLE ENERGY PARK,200.0,OIL/GAS,NATURAL GAS,COMBINED CYCLE,OPERATIONAL,ROSEVILLE+CA,38.7521235,-121.2880059
145,SLAB CREEK,0.4,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,CAMINO+CA,38.738046,-120.6743853
146,CHILI  BAR,7.02,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,PLACERVILLE+CA,38.7296252,-120.798546
147,WHITE ROCK,230.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,PLACERVILLE+CA,38.7296252,-120.798546
148,GEOTHERMAL 1,110.0,GEOTHERMAL,GEOTHERMAL,STEAM TURBINE,OPERATIONAL,MIDDLETOWN+CA,38.7524045,-122.6149853
149,GEOTHERMAL 2,110.0,GEOTHERMAL,GEOTHERMAL,STEAM TURBINE,OPERATIONAL,MIDDLETOWN+CA,38.7524045,-122.6149853
150,KIRKWOOD MEADOWS,5.34,OIL/GAS,DIESEL,,OPERATIONAL,KIRKWOOD MEADOWS+CA,38.6884518,-120.0671651
151,FOLSOM,198.72,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,FOLSOM+CA,38.6779591,-121.1760583
152,WARM SPRINGS,2.79,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,GEYSERVILLE+CA,38.7074755,-122.9027647
153,CEMEX-MADISON,1.0,WIND,WIND,WIND TURBINE,OPERATIONAL,MADISON+CA,38.679444,-121.968333
154,YOLO COUNTY SOLAR PV,1.0,SOLAR,PHOTOVOLTAIC,"PHOTOVOLTAIC, SEMICONDUCTOR SOLAR CELLS",OPERATIONAL,WOODLAND+CA,38.67851570000001,-121.7732971
155,MCCLELLAN,74.2,OIL/GAS,NATURAL GAS,"COMBUSTION TURBINE, NATURAL GAS",OPERATIONAL,SACRAMENTO+CA,38.5815719,-121.4943996
156,NIMBUS,13.5,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,FOLSOM+CA,38.6779591,-121.1760583
157,DAVID O. HARDE,0.1,HYDROELECTRIC,HYDRO,,OPERATIONAL,SOMERSET+CA,38.6476828,-120.6857641
158,AEROJET I,3.6,SOLAR,PHOTOVOLTAIC,SOLAR ARRAY,OPERATIONAL,RANCHO CORDOVA+CA,38.5890723,-121.302728
159,AEROJET II,2.4,SOLAR,PHOTOVOLTAIC,SOLAR ARRAY,OPERATIONAL,RANCHO CORDOVA+CA,38.5890723,-121.302728
160,PORT OF WEST SACRAMENTO,0.6,SOLAR,PHOTOVOLTAIC,ROOFTOP,OPERATIONAL,WEST SACRAMENTO+CA,38.5804609,-121.530234
161,PROCTER & GAMBLE  - SMUD,193.4,OIL/GAS,NATURAL GAS,"COMBUSTION TURBINE, WASTE HEAT",OPERATIONAL,SACRAMENTO+CA,38.5815719,-121.4943996
162,SALT SPRINGS,46.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,JACKSON+CA,38.3488023,-120.7741018
163,KIEFER LANDFILL GTE,9.15,WTE,LANDFILL GAS,METHANE GAS,OPERATIONAL,SLOUGHHOUSE+CA,38.4957417,-121.193836
164,DEPOT PARK,3.0,SOLAR,PHOTOVOLTAIC,SOLAR ARRAY,OPERATIONAL,SACRAMENTO+CA,38.5815719,-121.4943996
165,SPAC,173.9,OIL/GAS,NATURAL GAS,"COMBUSTION TURBINE, WASTE HEAT",OPERATIONAL,SACRAMENTO+CA,38.5815719,-121.4943996
166,HEDGE PV,0.2,SOLAR,PHOTOVOLTAIC,PHOTOVOLTAIC,OPERATIONAL,SACRAMENTO+CA,38.5815719,-121.4943996
167,TIGER CREEK,60.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,JACKSON+CA,38.3488023,-120.7741018
168,WEST POINT,14.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,JACKSON+CA,38.3488023,-120.7741018
169,SOLEIL SOLAR,1.25,SOLAR,PHOTOVOLTAIC,FIXED TILT GROUND MOUNT,OPERATIONAL,WILTON+CA,38.411855,-121.2721709
170,CARSON COGEN,125.5,OIL/GAS,NATURAL GAS,"COMBUSTION TURBINE, WASTE HEAT",OPERATIONAL,SACRAMENTO+CA,38.5815719,-121.4943996
171,SPICER,6.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,SAN ANDREAS+CA,38.1960298,-120.6804872
172,SUPERIOR FARMS,1.0,WIND,WIND,WIND TURBINE,OPERATIONAL,DIXON+CA,38.4454641,-121.8232958
173,SCHAAD SOUTH,0.23,HYDROELECTRIC,WATER,,OPERATIONAL,SAN ANDREAS+CA,38.1960298,-120.6804872
174,VACA DIXON SOLAR STATION,2.0,SOLAR,SOLAR,"FIXED TILT GROUND MOUNT, SOLAR ARRAY",OPERATIONAL,VACAVILLE+CA,38.3565773,-121.9877444
175,RE BRUCEVILLE 1,5.0,SOLAR,PHOTOVOLTAIC,PV SINGLE AXIS TRACKERS,OPERATIONAL,ELK GROVE+CA,38.4087993,-121.3716178
176,RANCHO SECO 1-6,2.0,SOLAR,PHOTOVOLTAIC,PHOTOVOLTAIC,OPERATIONAL,ELK GROVE+CA,38.4087993,-121.3716178
177,ELECTRA,99.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,JACKSON+CA,38.3488023,-120.7741018
178,SMUD COSUMNES RIVER PHASE 1,500.0,OIL/GAS,NATURAL GAS,STEAM TURBINE,OPERATIONAL,HERALD+CA,38.2947578,-121.2455569
179,POINT PLEASANT,1.0,SOLAR,PHOTOVOLTAIC,SOLAR PANELS,OPERATIONAL,ELK GROVE+CA,38.4087993,-121.3716178
180,JACKSON VALLEY ID,0.46,HYDROELECTRIC,WATER,,OPERATIONAL,IONE+CA,38.3526912,-120.9327177
181,CALIFORNIA MEDICAL FACILITY,1.5,OIL/GAS,NATURAL GAS,,OPERATIONAL,VACAVILLE+CA,38.3565773,-121.9877444
182,DONNELLS,72.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,BEARDSLEY+CA,46.1230717,-67.6164754
183,PARDEE,23.6,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,VALLEY SPRINGS+CA,38.1915856,-120.8291033
184,BOESSOW,3.0,SOLAR,PHOTOVOLTAIC,PHOTOVOLTAIC,OPERATIONAL,GALT+CA,38.2546373,-121.2999485
185,CAMANCHE,10.8,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,CLEMENTS+CA,38.1907514,-121.0882767
186,BEARDSLEY,9.99,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,LONG BARN+CA,38.0929762,-120.1343539
187,SPRING GAP,6.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,LONG BARN+CA,38.0929762,-120.1343539
188,SAND BAR,16.2,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,PINECREST+CA,38.1885278,-119.9907392
189,MONTEZUMA,36.8,WIND,WIND,WIND TURBINE,OPERATIONAL,BIRDS LANDING+CA,38.1328618,-121.8708558
190,COLLIERVILLE,249.1,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,MURPHYS+CA,38.1374202,-120.4596437
191,MURPHYS,4.5,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,MURPHYS+CA,38.1374202,-120.4596437
192,SHILOH II,150.0,WIND,WIND,WIND TURBINE,OPERATIONAL,BIRDS LANDING+CA,38.1328618,-121.8708558
193,HOGAN,2.97,HYDROELECTRIC,WATER,,OPERATIONAL,SAN ANDREAS+CA,38.1960298,-120.6804872
194,STANISLAUS,91.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,STANISLAUS+CA,37.5090711,-120.9876321
195,MONTEZUMA II,78.2,WIND,WIND,WIND TURBINE,OPERATIONAL,BIRDS LANDING+CA,38.1328618,-121.8708558
196,HIGH WINDS,162.0,WIND,WIND,WIND TURBINE,OPERATIONAL,BIRDS LANDING+CA,38.1328618,-121.8708558
197,ENXCO V REPOWER,9.0,WIND,WIND,WIND TURBINE,OPERATIONAL,BIRDS LANDING+CA,38.1328618,-121.8708558
198,EDF RENEWABLE WINDFARM V,16.2,WIND,WIND,WIND TURBINE,OPERATIONAL,BIRDS LANDING+CA,38.1328618,-121.8708558
199,LUNDY,3.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,LEE VINING+CA,37.957592,-119.119943
200,LODI ENERGY CENTER,255.0,OIL/GAS,NATURAL GAS,COMBINED CYCLE,OPERATIONAL,LODI+CA,38.1341477,-121.2722194
201,NCPA STIG,50.0,OIL/GAS,NATURAL GAS,COMBUSTION TURBINE,OPERATIONAL,LODI+CA,38.1341477,-121.2722194
202,ANGELS,1.4,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,ANGLES CAMP+CA,38.0677832,-120.5385299
203,PHOENIX,1.6,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,SONORA+CA,37.9829496,-120.3821724
204,ROCK CREEK WD,0.7,HYDROELECTRIC,WATER,,OPERATIONAL,SALT SPRINGS VALLEY+CA,45.5479551,-65.62364550000001
205,POOLE,10.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,LEE VINING+CA,37.957592,-119.119943
206,NEW MELONES,300.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,JAMESTOWN+CA,37.9532584,-120.4226952
207,DION R  HOLM,165.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,GROVELAND+CA,37.8388779,-120.2308167
208,KIRKWOOD,118.22,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,GROVELAND+CA,37.8388779,-120.2308167
209,TULLOCH,17.1,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,KNIGHTS FERRY+CA,37.81972200000001,-120.664444
210,MOCCASIN LOW HEAD,2.9,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,MOCCASIN+CA,37.8108901,-120.2991565
211,MOCCASIN,100.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,MOCCASIN+CA,37.8108901,-120.2991565
212,RUSH CREEK,8.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,JUNE LAKE+CA,37.7797825,-119.0754232
213,J.R. SIMPLOT CO.,4.0,OIL/GAS,NATURAL GAS,"STEAM TURBINE, WASTE HEAT/SULFURIC ACID",OPERATIONAL,LATHROP+CA,37.8227046,-121.27661
214,SAN JOAQUIN COGEN,48.0,OIL/GAS,NATURAL GAS,COMBUSTION TURBINE,OPERATIONAL,LATHROP+CA,37.8227046,-121.27661
215,CINNAMON RANCH,0.16,HYDROELECTRIC,WATER,RUN-OF-RIVER,OPERATIONAL,BISHOP+CA,37.3614238,-118.3996636
216,DON PEDRO,170.8,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,LA GRANGE+CA,37.6635433,-120.4635289
217,SAFEWAY,2.0,WIND,WIND,WIND TURBINE,OPERATIONAL,TRACY+CA,37.7396513,-121.4252227
218,TRACY,355.0,OIL/GAS,NATURAL GAS,COMBUSTION TURBINE,OPERATIONAL,TRACY+CA,37.7396513,-121.4252227
219,MID WOODLAND I & II,129.4,OIL/GAS,NATURAL GAS,"COMBUSTION TURBINE, WASTE HEAT",OPERATIONAL,MODESTO+CA,37.63909719999999,-120.9968782
220,STONE DROP,0.2,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,WATERFORD+CA,37.6413202,-120.7604834
221,MCCLURE,112.0,OIL/GAS,DISTILLATE OIL,COMBUSTION TURBINE,OPERATIONAL,MODESTO+CA,37.63909719999999,-120.9968782
222,UPPER GORGE,37.5,HYDROELECTRIC,WATER,"HYDRAULIC TURBINE - PIPELINE, PONDAGE",OPERATIONAL,BISHOP+CA,37.3614238,-118.3996636
223,TEICHERT VERNALIS,1.5,WIND,WIND,WIND TURBINE,OPERATIONAL,TRACY+CA,37.7396513,-121.4252227
224,EXCHEQUER,94.0,HYDROELECTRIC,WATER,HYDRAULIC TURBINE - PIPELINE,OPERATIONAL,SNELLING+CA,37.5193136,-120.4377905
225,MIDDLE GORGE,37.5,HYDROELECTRIC,WATER,HYDRAULIC TURBINE - PIPELINE,OPERATIONAL,BISHOP+CA,37.3614238,-118.3996636
226,MERCED FALLS,9.99,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,MERCED FALLS+CA,37.524181,-120.333511
227,MCSWAIN,9.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,SNELLING+CA,37.5193136,-120.4377905
228,CONTROL GORGE,37.5,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,BISHOP+CA,37.3614238,-118.3996636
229,PLEASANT VALLEY,3.2,HYDROELECTRIC,WATER,"RUN-OF-RIVER, HYDRAULOC TURBINE-PLINE",OPERATIONAL,BISHOP+CA,37.3614238,-118.3996636
230,CANAL CREEK (RETA),0.9,HYDROELECTRIC,WATER,"HYDRAULIC TURBINE - PIPELINE, WATER",OPERATIONAL,MERCED+CA,37.3021632,-120.4829677
231,BISHOP CREEK 6,1.6,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,BISHOP+CA,37.3614238,-118.3996636
232,BISHOP CREEK 5,3.8,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,BISHOP+CA,37.3614238,-118.3996636
233,BISHOP CREEK 4,7.95,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,BISHOP+CA,37.3614238,-118.3996636
234,BISHOP CREEK 3,7.84,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,BISHOP+CA,37.3614238,-118.3996636
235,BIG CREEK FISHWATER,0.4,HYDROELECTRIC,HYDRO,HYDRO,OPERATIONAL,MANNOTH LAKES+CA,37.648546,-118.972079
236,BISHOP CREEK 2,7.3,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,BISHOP+CA,37.3614238,-118.3996636
237,CRANE VALLEY,0.9,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,AUBERRY+CA,37.0807823,-119.4854113
238,SAN JOAQUIN 3,4.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,NORTH FORK+CA,37.2293765,-119.5093812
239,MAMMOTH POOL,187.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,NORTH FORK+CA,37.2293765,-119.5093812
240,SAN JOAQUIN 2,2.88,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,NORTH FORK+CA,37.2293765,-119.5093812
241,BIG PINE,3.2,HYDROELECTRIC,WATER,"RUN-OF-RIVER, HYDRAULIC TURBINE, OWENS VLY",OPERATIONAL,BIG PINE+CA,37.1649307,-118.289546
242,SAN JOAQUIN 1A,0.4,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,NORTH FORK+CA,37.2293765,-119.5093812
